Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
98.9,-0.11700732707977295,0.3162277660168401,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
97.4,-0.09351952075958252,1.2649110640673524,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
93.6,-0.00012362003326416016,2.633122354417538,35,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.2,-0.00015823841094970704,2.5298221281347013,35,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
93.3,-0.00016193389892578126,2.7100635498903807,35,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.9,-0.012909674644470214,0.31622776601683894,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
99.0,-0.01168825626373291,0.0,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.0,-0.057276010513305664,0.0,35,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-1.2448604345321654,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,-1.2969930648803711,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,-1.3274606466293335,0.0,35,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,35,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
